Id,GPA,Gender,breakfast,calories_chicken,calories_day,calories_scone,coffee,comfort_food_reasons_coded,cook,comfort_food_reasons_coded.1,cuisine,diet_current_coded,drink,eating_changes_coded,eating_changes_coded1,eating_out,employment,ethnic_food,exercise,father_education,fav_cuisine_coded,fav_food,fries,fruit_day,grade_level,greek_food,healthy_feeling,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,mother_education,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,veggies_day,vitamins,waffle_calories
17,3.6,2,1,430,3,980,2,2,3,2,1,3,2,1,2,2,3,4,1,2,5,3,1,3,1,3,8,1,6,3,5,7,2,2,4,1,1,6,2,2,1,1,3,940,500,4,2,900
18,3.4,1,1,720,3,980,1,3,3,3,1,1,1,4,6,3,2,1,3,5,5,3,1,5,2,3,6,2,5,1,5,9,2,3,2,1,1,2,1,3,2,2,1,1165,690,5,1,1315
19,2.2,2,1,430,2,420,2,2,4,2,1,2,2,3,4,2,3,3,2,5,1,1,1,2,1,3,4,3,5,2,5,7,1,4,1,1,1,3,3,4,1,1,3,940,345,2,2,900
20,3.3,2,1,610,3,980,2,7,5,7,1,2,2,1,3,4,2,4,1,5,2,3,1,2,2,2,5,1,6,1,4,2,1,4,2,1,1,2,1,6,1,1,1,1165,850,3,2,1315
21,3.87,2,1,610,3,315,1,2,3,2,3,2,2,1,8,1,2,3,1,4,8,2,1,3,4,5,8,7,6,5,5,7,2,2,4,1,3,5,5,2,2,1,5,725,500,2,2,900
22,3.7,2,1,610,3,420,1,3,5,3,2,1,1,1,3,1,2,3,1,4,1,1,2,4,1,4,2,2,6,5,5,5,1,4,3,1,3,5,2,2,1,1,4,940,850,3,1,1315
23,3.7,2,2,610,3,420,2,1,4,1,1,1,1,1,7,2,2,5,3,4,4,1,1,3,3,2,4,1,4,4,5,5,1,2,2,1,2,3,2,3,1,1,4,940,690,4,1,1315
24,3.9,1,1,720,2,420,2,6,1,6,1,1,2,1,2,4,3,4,1,3,4,1,1,4,3,5,5,2,4,3,5,2,2,2,2,1,1,3,3,4,2,2,4,940,500,4,2,1315
25,2.8,1,2,720,3,420,2,2,3,2,1,1,1,3,4,2,3,2,1,4,0,3,1,4,1,3,8,2,6,3,3,5,1,3,4,1,1,3,3,3,1,1,3,1165,690,3,2,760
26,3.7,2,1,610,2,420,1,2,3,2,1,1,1,1,3,2,2,2,1,4,1,1,1,3,2,1,9,5,5,1,5,9,2,2,2,1,1,4,1,2,2,1,2,1165,850,3,2,1315
27,3,2,1,610,4,980,2,2,4,2,1,1,2,2,5,2,3,3,1,5,2,1,1,5,1,3,9,6,6,3,4,9,2,5,4,1,1,6,2,2,1,1,3,1165,500,5,1,1315
28,3.2,2,1,610,2,420,2,2,2,2,2,2,1,1,3,2,2,2,2,4,1,1,1,3,3,1,4,7,5,1,5,3,1,4,5,1,1,3,2,3,1,2,1,940,500,2,1,1315
29,3.5,2,1,265,2,420,2,2,3,2,1,2,2,1,3,5,3,5,2,5,8,1,1,5,3,3,9,7,5,5,5,10,1,5,2,1,1,4,5,2,1,2,5,580,500,4,1,760
30,4,1,1,720,3,420,2,1,3,1,1,1,1,1,7,3,2,4,2,2,2,2,1,3,4,2,7,2,5,3,4,8,2,5,4,3,3,3,2,3,2,1,3,940,500,5,1,1315
31,4,2,1,610,3,420,2,1,2,1,1,2,2,3,4,2,3,5,2,4,1,1,1,5,2,5,5,1,4,4,5,3,1,2,4,4,1,3,3,4,2,2,4,940,690,5,1,1315
32,3.4,2,1,610,3,315,2,4,5,4,1,2,2,1,3,3,2,5,1,5,2,1,1,4,4,5,5,7,5,5,5,8,1,5,4,1,3,4,5,4,1,1,5,580,345,5,1,760
33,2.8,1,1,720,3,420,1,2,4,2,2,2,1,1,3,2,3,4,3,4,1,1,1,3,1,5,7,2,3,2,5,3,1,4,4,1,1,3,2,3,1,2,1,1165,500,3,1,900
34,3.65,1,1,610,3,420,2,2,4,2,1,2,1,1,3,3,3,2,1,4,1,3,1,5,1,3,1,7,6,1,5,3,1,4,4,1,5,4,1,2,1,1,3,940,345,4,1,1315
35,3,1,1,610,2,420,2,2,1,2,1,3,1,1,3,2,3,2,1,4,5,1,1,5,3,3,2,6,4,1,5,3,2,4,2,2,1,3,2,2,1,1,2,940,690,5,2,760
36,3.7,1,1,610,3,420,2,2,3,2,1,2,2,1,8,4,2,4,1,5,1,3,1,5,2,3,7,5,6,2,5,7,1,2,3,1,2,3,1,4,2,1,2,1165,500,5,2,900
37,3.4,1,1,720,4,420,2,1,2,1,6,2,2,1,3,2,2,4,3,2,1,1,1,3,4,5,4,2,6,3,5,2,2,3,4,1,1,4,3,4,1,1,5,940,500,4,2,1315
38,3.89,1,1,610,3,980,2,2,3,2,1,1,1,1,2,2,3,4,2,4,1,1,1,4,4,3,6,2,5,3,5,8,2,4,4,1,1,3,3,4,1,1,2,1165,690,3,2,1315
39,3,2,1,720,3,980,2,9,5,9,1,2,2,1,2,5,3,3,1,5,2,1,1,5,4,1,3,2,6,3,4,5,2,2,1,2,3,3,1,1,1,1,3,1165,690,3,2,1315
40,3.4,2,1,430,3,315,1,3,3,3,1,3,2,1,9,2,3,4,1,4,1,1,1,3,1,5,10,2,6,3,5,8,1,4,3,1,1,3,3,2,1,1,3,940,500,4,2,760
41,2.9,1,1,720,4,980,2,5,2,5,1,4,1,1,3,4,2,4,1,2,1,1,1,5,2,5,6,3,3,3,5,4,1,3,4,1,1,3,2,6,1,2,4,940,690,5,1,1315
42,3.6,1,1,610,3,420,2,2,4,2,1,2,2,1,3,2,2,3,1,4,1,1,1,5,2,5,6,1,6,4,5,7,1,4,1,1,2,3,2,3,1,2,4,940,500,4,2,900
43,3.5,1,1,430,2,980,1,3,3,3,1,2,1,2,5,1,2,5,1,2,4,3,1,4,3,5,6,2,3,5,5,8,2,2,3,1,1,2,5,3,2,2,5,940,345,4,1,900
44,3.2,1,1,610,4,420,2,1,1,1,1,1,1,2,4,2,2,5,1,4,4,1,1,5,4,5,8,7,5,5,5,10,1,2,4,2,1,6,5,3,1,1,5,725,500,5,1,760
45,3.605,1,1,610,3,315,2,4,3,4,1,1,1,2,5,2,2,5,1,4,1,1,1,5,2,5,3,6,6,5,5,3,2,4,2,1,2,4,5,1,1,2,5,940,500,5,2,900
46,3.8,2,1,430,2,420,1,3,3,3,1,2,2,1,2,2,2,4,2,3,1,1,1,4,1,4,4,5,4,3,5,4,1,4,3,1,2,3,3,3,1,1,3,725,345,4,2,900
47,2.8,2,1,430,3,980,2,2,4,2,1,2,1,1,3,2,2,3,1,5,1,3,1,5,1,3,8,7,6,2,4,9,1,5,2,1,1,3,4,2,1,1,1,940,345,5,2,900
48,3.5,2,2,430,3,315,1,1,4,1,1,2,2,1,3,2,3,4,1,4,4,1,1,5,2,4,2,7,5,4,5,3,1,4,3,1,1,3,4,1,2,1,4,940,345,5,1,760
49,3.83,2,1,430,3,315,2,5,3,5,2,2,1,1,3,2,2,3,2,2,1,1,1,3,3,4,9,2,3,4,5,9,2,4,2,1,2,6,3,1,2,2,4,1165,690,3,2,900
50,3.6,2,1,720,3,420,2,1,5,1,1,1,1,2,5,2,3,2,1,3,5,2,1,4,3,1,8,4,1,1,3,8,1,2,5,3,1,3,1,3,1,2,1,1165,500,5,2,760
51,3.3,2,1,610,4,980,1,5,3,5,1,4,1,1,3,3,3,5,1,2,0,1,1,5,2,5,8,5,6,5,5,8,1,2,5,1,1,3,5,2,1,1,5,1165,500,4,1,1315
52,3.3,2,1,610,4,420,2,2,1,2,1,3,1,1,3,5,2,4,1,3,2,1,1,5,2,5,1,3,5,3,5,5,1,2,5,1,1,3,3,2,2,1,3,1165,500,5,2,900
53,3.292,2,1,610,3,980,2,2,4,2,1,4,2,3,4,3,2,3,1,2,5,3,1,4,4,4,5,3,3,2,5,1,1,5,1,3,1,3,3,4,1,2,1,940,500,4,1,1315
54,3.5,2,1,610,3,420,2,1,1,1,2,1,1,2,5,3,3,5,1,4,1,1,2,5,2,5,10,7,6,4,5,10,1,5,4,1,1,6,2,2,1,1,4,940,690,5,1,900
55,3.35,1,2,610,2,315,2,2,3,2,1,2,2,4,10,5,3,3,1,1,1,1,1,4,1,3,8,5,3,2,5,8,1,3,3,1,2,2,2,3,1,1,3,940,500,4,2,900
56,3.8,2,1,720,4,315,2,2,3,2,1,1,1,2,5,4,3,5,1,4,4,1,1,5,4,4,1,2,6,5,5,1,1,4,4,2,1,4,4,2,1,1,5,1165,500,5,1,1315
57,2.8,1,1,610,4,980,2,9,2,9,1,1,1,2,5,3,2,2,1,2,5,3,2,4,2,5,9,2,5,2,5,10,1,4,5,1,1,3,1,2,2,1,2,725,345,4,1,1315
58,3.5,1,1,610,3,420,2,1,1,1,2,3,2,1,11,2,2,5,2,4,2,1,2,5,3,5,4,6,5,5,5,1,1,5,2,2,1,4,4,3,1,1,5,1165,690,5,1,1315
59,3.7,1,1,610,3,420,2,2,2,2,1,3,2,1,11,2,3,5,1,4,1,3,1,5,4,5,7,1,6,5,5,10,1,4,2,2,2,3,4,3,2,1,5,1165,500,4,2,1315
60,3.6,1,1,610,4,420,2,3,2,3,1,1,2,3,4,5,3,5,1,4,2,1,1,5,1,4,3,6,6,1,5,5,1,4,4,1,1,3,1,2,1,1,1,1165,690,5,1,1315
61,3.3,1,1,610,2,980,2,3,2,3,1,1,1,2,5,2,2,4,2,2,2,2,2,3,4,3,2,2,4,2,4,5,2,4,4,3,1,2,3,2,2,2,2,725,500,3,1,1315
62,3.9,2,1,610,4,980,2,2,3,2,1,1,1,2,5,5,2,2,1,2,1,1,1,4,4,3,2,7,6,2,5,1,1,2,4,1,2,3,2,2,1,1,2,1165,850,4,1,1315
63,2.6,1,1,610,4,980,2,3,3,3,2,1,2,3,4,4,3,5,1,4,1,1,1,5,3,4,8,6,5,4,4,8,2,4,4,1,1,3,4,2,1,1,4,1165,690,5,2,1315
64,3.5,1,1,610,3,420,1,2,1,2,1,1,1,1,3,3,2,4,1,2,4,3,1,5,2,4,3,5,2,3,5,1,2,2,4,1,1,2,3,4,2,1,3,940,500,5,1,760
65,3.2,1,1,610,3,315,2,2,2,2,2,2,1,1,11,3,3,3,2,5,1,3,1,3,2,3,3,6,6,1,5,3,2,4,1,1,2,5,1,2,1,2,4,725,500,3,2,900
66,3,1,1,720,3,420,1,3,2,3,1,1,2,1,3,2,3,3,1,2,5,1,1,5,1,4,3,5,4,3,5,3,2,4,4,1,1,3,3,2,1,1,3,940,500,5,1,900
67,3.6,1,1,610,2,420,1,2,4,2,1,2,2,1,3,3,2,5,2,2,1,1,1,5,2,2,2,7,5,2,4,2,2,3,2,1,2,4,1,2,1,1,2,940,690,5,2,1315
68,3.2,1,1,430,3,315,1,1,3,1,1,1,2,1,3,1,3,4,1,5,1,1,1,5,1,3,8,3,6,2,5,8,2,5,3,1,1,4,2,3,1,1,4,725,500,5,2,760
69,3.67,1,2,720,4,420,2,2,2,2,1,2,2,1,3,2,3,2,2,4,1,1,1,3,3,1,3,4,6,1,5,3,2,4,4,2,1,3,1,3,2,2,5,1165,690,5,1,1315
70,3.73,1,1,610,3,980,2,2,3,2,1,1,1,1,8,1,2,5,2,4,1,1,2,5,3,5,3,1,3,5,5,2,2,2,2,1,1,3,5,3,1,1,5,1165,500,5,1,1315
71,4,1,1,720,3,420,2,2,2,2,1,1,1,1,11,1,2,5,1,2,1,1,2,5,3,3,5,3,5,4,5,2,2,4,4,1,1,6,3,4,1,1,4,1165,690,5,1,1315
72,3.1,2,2,610,3,980,2,2,3,2,1,2,2,1,3,1,2,4,2,4,0,2,1,5,1,2,3,7,5,3,5,2,1,4,2,1,1,2,2,3,1,2,3,1165,345,5,1,1315
73,3.79,2,1,720,4,420,2,2,1,2,1,2,2,2,12,4,3,3,1,4,2,1,1,3,2,3,1,3,6,1,5,2,2,2,5,3,1,3,1,3,1,1,2,1165,850,4,1,1315
74,2.71,2,2,265,2,420,1,9,2,9,4,4,2,3,4,1,3,3,2,1,0,2,1,4,3,3,8,8,3,3,3,10,4,1,2,2,3,5,3,3,1,2,3,580,345,4,2,760
75,3,1,1,610,3,420,2,3,3,3,1,1,1,1,3,2,2,5,1,4,1,1,1,5,1,3,6,2,5,4,5,9,2,4,4,1,2,4,3,3,1,2,4,940,500,4,1,900
76,3.7,1,2,610,3,420,1,2,2,2,1,2,2,1,3,2,2,2,2,2,5,3,1,4,4,2,4,3,3,1,5,4,1,5,3,2,1,3,1,4,2,1,1,1165,690,2,2,1315
77,3.1,2,2,265,2,420,1,2,2,2,1,2,2,2,13,2,2,1,2,2,5,2,1,3,4,1,4,7,3,1,4,5,2,5,1,1,1,3,1,3,2,1,2,725,345,2,2,900
78,3,1,1,720,3,420,2,1,2,1,1,3,1,1,2,2,2,3,1,2,4,1,2,5,2,4,8,3,5,3,4,8,2,2,4,1,1,3,2,3,1,1,3,580,345,4,1,1315
79,3.9,2,1,720,3,420,2,2,5,2,1,2,2,1,7,1,3,5,1,3,4,1,1,5,1,5,1,8,6,4,5,3,1,2,4,1,1,3,4,2,1,1,5,1165,850,4,2,1315
80,3.4,1,1,430,2,420,2,7,3,7,1,2,2,1,3,3,2,4,2,2,1,3,1,3,1,3,4,2,4,3,5,1,1,4,2,1,1,3,3,3,1,2,4,1165,500,2,1,900
81,3.5,1,2,610,3,420,1,2,3,2,1,2,2,1,3,3,3,4,1,4,1,1,1,4,4,4,2,3,4,4,5,2,2,4,2,1,3,5,4,4,2,1,4,725,500,2,2,900
82,3.7,1,1,265,3,315,2,2,3,2,1,4,2,1,3,5,3,4,1,4,1,1,1,3,3,3,8,2,3,3,5,7,1,4,3,1,2,3,3,3,1,1,3,580,345,3,2,575
83,3.7,1,1,430,3,420,2,2,2,2,1,2,1,1,2,2,2,5,1,2,2,1,1,4,1,5,4,5,1,5,5,1,1,1,3,1,2,2,5,3,1,1,5,940,690,4,2,1315
84,3.83,1,1,720,3,420,2,3,1,3,1,1,2,2,5,2,3,5,1,4,2,3,1,5,2,5,9,5,5,5,5,9,2,3,5,1,1,3,4,2,1,1,5,725,690,5,1,760
85,2.6,1,1,265,3,315,2,1,3,1,1,3,2,1,2,3,2,3,3,5,4,3,1,5,1,4,7,5,6,2,5,7,2,3,3,1,2,3,3,3,1,2,3,580,500,4,1,760
86,3,1,1,610,3,420,2,2,2,2,1,1,2,2,5,1,3,4,2,2,4,3,1,5,1,4,3,5,6,4,5,1,1,4,5,1,1,3,3,4,1,1,4,580,500,4,1,900
87,3.2,2,1,720,3,420,1,3,4,3,1,2,2,1,3,2,2,3,1,4,5,2,1,4,2,1,5,2,6,1,5,4,1,5,2,1,1,3,1,4,1,1,1,1165,690,4,1,1315
88,3.5,2,2,720,4,980,2,9,3,9,1,2,2,2,5,1,2,5,1,2,2,1,1,4,3,5,7,6,2,5,5,1,1,4,5,1,1,4,5,2,1,2,5,1165,850,4,1,1315
89,3.2,1,1,610,3,420,2,1,3,1,1,2,1,2,5,2,2,5,1,4,4,1,2,5,3,4,7,2,3,5,5,1,1,2,5,1,2,3,4,3,1,2,5,1165,500,5,1,900
90,3.68,2,1,720,4,420,2,2,4,2,1,1,2,2,5,2,3,3,1,2,1,1,1,5,1,4,7,4,6,3,5,8,1,3,2,1,1,4,3,4,2,1,3,1165,850,4,1,1315
91,3.8,1,2,610,2,420,2,2,2,2,1,2,2,1,3,3,2,2,2,5,5,3,1,2,3,1,5,2,6,1,4,2,2,5,3,2,3,3,1,3,1,2,1,725,500,1,2,900
92,3.3,2,2,720,3,420,2,1,2,1,1,2,2,2,5,5,2,1,3,2,5,1,1,1,3,1,8,3,3,1,5,1,2,3,2,1,1,3,1,4,1,1,1,1165,690,4,2,900
93,3.2,2,1,720,3,420,2,2,4,2,1,2,2,1,2,2,3,5,3,5,1,1,1,4,1,4,6,2,4,5,5,6,1,4,1,1,1,4,5,3,1,2,5,1165,690,5,2,1315
94,3.75,2,1,610,3,420,2,5,2,5,1,1,2,1,3,2,2,5,1,4,1,1,1,5,4,5,7,7,6,5,5,6,2,4,4,1,1,3,5,3,1,1,5,940,690,5,1,1315
95,3.5,2,1,265,3,420,2,2,3,2,1,2,2,1,2,2,3,4,1,4,5,3,1,4,3,4,10,6,5,3,5,10,2,4,3,1,1,3,3,2,2,1,4,1165,690,4,2,1315
96,3.92,2,1,430,3,420,2,7,2,7,2,2,2,2,5,2,2,4,2,2,1,3,1,3,1,3,2,2,6,3,5,8,1,5,2,1,2,3,3,6,1,2,3,725,500,2,1,900
97,3.9,1,1,720,3,420,2,2,3,2,1,1,2,2,5,2,2,3,1,5,1,1,1,5,2,2,1,2,5,2,5,1,1,3,4,1,1,5,1,3,1,1,3,1165,500,5,2,760
98,3.9,2,1,720,3,315,1,3,4,3,6,2,2,2,5,5,3,5,2,4,1,1,1,5,4,5,8,3,6,5,5,1,2,2,3,4,3,6,1,4,1,1,5,1165,690,4,1,1315
99,3.2,1,1,430,4,420,1,3,4,3,2,2,1,2,5,3,2,3,1,3,1,1,1,5,1,3,3,4,4,1,5,2,2,4,2,1,1,3,1,3,1,1,1,1165,690,5,1,900
100,3.5,1,1,610,3,420,2,3,3,3,1,1,1,1,3,2,2,5,2,2,1,1,1,5,1,5,2,4,2,5,5,1,2,2,2,1,1,2,5,2,1,1,5,940,500,5,2,900
101,3.4,1,1,610,3,420,2,2,3,2,1,2,2,1,11,2,2,5,3,4,4,3,1,5,1,5,3,2,5,4,5,3,1,4,4,1,1,2,4,5,1,2,3,1165,500,5,2,1315
102,3.5,1,1,610,4,420,2,3,2,3,1,1,2,2,5,3,3,5,1,5,1,3,1,5,2,2,7,3,5,1,5,7,1,5,5,1,2,3,1,4,1,2,2,940,500,5,1,900
103,3.7,1,1,610,3,420,2,8,2,5,1,1,1,1,3,2,2,5,2,4,8,1,1,5,3,3,4,2,4,5,5,8,1,4,4,1,2,3,3,6,1,2,3,725,345,5,1,760
104,3.3,1,1,720,3,420,2,2,4,2,1,2,2,1,2,2,2,4,1,4,1,3,1,4,1,3,9,2,5,3,5,3,1,3,4,1,2,4,2,5,2,2,5,940,690,5,1,1315
105,3,1,1,720,3,420,2,2,3,2,1,2,2,1,10,3,2,4,2,4,1,3,1,3,4,5,2,5,4,3,5,1,2,3,2,2,1,5,4,3,2,1,3,1165,690,2,2,1315
106,3,1,1,430,3,315,2,2,2,1,1,1,1,2,12,5,2,5,2,5,4,1,1,5,1,5,7,1,1,5,5,6,1,4,4,1,1,3,4,4,1,2,4,580,500,5,2,760
107,3.8,1,1,430,3,420,1,2,2,1,1,1,1,1,2,2,2,4,1,3,1,3,1,4,2,3,5,2,4,3,5,4,1,3,2,1,1,3,2,4,1,2,5,1165,690,4,2,900
108,3.8,1,1,430,2,420,2,2,5,1,1,1,2,1,2,2,3,2,1,4,1,2,1,5,2,2,6,1,6,5,5,5,2,3,4,1,2,3,2,3,1,1,2,580,345,5,2,760
109,3.4,1,1,610,3,420,2,2,2,1,1,2,2,2,5,3,2,2,3,5,1,2,1,4,2,2,5,2,6,1,5,1,1,5,4,1,2,3,1,5,1,2,2,940,690,3,1,1315
110,3.7,1,1,610,3,315,1,2,3,3,2,2,1,1,3,4,3,3,2,4,1,1,1,3,4,4,8,2,3,3,5,9,2,4,3,2,2,4,4,3,1,1,3,580,690,3,2,900
111,2.9,2,1,265,2,980,2,2,2,2,1,1,2,2,5,2,2,3,2,2,0,1,1,3,3,5,9,2,5,1,3,7,1,2,4,3,1,6,1,3,1,2,1,725,345,3,2,1315
112,3.9,1,1,610,4,315,2,2,1,3,1,1,1,2,5,4,3,5,1,5,1,3,1,5,4,5,10,4,6,5,5,9,2,5,4,1,2,3,5,3,1,2,5,725,500,3,2,900
113,3.6,1,1,430,2,420,1,2,2,2,1,2,2,1,2,3,2,3,2,4,1,1,1,4,4,3,9,7,6,2,5,1,2,4,4,1,2,3,3,4,1,2,2,1165,690,2,2,900
114,2.8,2,1,610,3,315,2,2,3,3,4,2,2,1,10,3,3,4,2,5,4,3,1,4,2,3,7,2,3,5,4,7,2,5,3,1,1,5,3,1,1,1,5,940,850,3,2,760
115,3.3,2,1,610,4,980,2,2,4,1,1,2,2,1,3,2,2,2,1,5,0,3,1,5,1,1,10,3,6,1,4,10,2,5,1,1,1,5,2,2,1,1,1,1165,690,2,2,1315
116,3.4,1,1,610,3,420,2,2,3,2,1,2,1,1,3,4,3,4,2,3,4,2,1,5,1,1,5,5,1,3,5,2,1,3,2,1,2,3,1,4,1,2,5,725,345,5,1,1315
117,3.77,1,1,610,3,315,2,2,3,5,4,1,1,2,5,2,2,4,1,2,4,3,1,3,2,2,9,2,2,2,4,7,1,2,2,1,1,2,2,4,1,2,5,725,690,3,1,760
118,3.63,1,1,430,3,420,1,2,3,1,1,2,1,2,5,2,2,4,2,2,5,1,1,5,2,3,5,5,3,3,5,8,2,2,2,3,3,4,2,4,1,2,4,940,345,5,2,1315
119,3.2,2,1,610,3,420,2,2,2,7,5,2,1,2,5,2,2,5,2,5,8,3,1,5,4,5,7,3,2,5,5,6,2,5,2,1,1,3,5,4,1,1,5,1165,690,5,2,1315
120,3.5,1,1,610,4,420,2,2,3,2,1,2,2,1,3,2,1,4,2,4,1,1,1,5,4,5,5,6,4,3,5,7,1,3,5,3,1,4,3,4,1,1,5,940,500,5,1,1315
121,3,1,1,265,2,315,2,2,3,3,1,2,1,1,3,4,3,3,2,5,2,1,1,4,4,1,5,5,2,5,5,7,1,2,3,1,3,4,1,4,1,1,4,940,500,5,2,1315
122,3.882,1,1,720,3,420,1,2,3,3,1,2,1,1,3,3,3,5,2,5,4,1,1,4,3,5,6,2,2,5,3,10,1,1,3,1,2,4,5,4,1,2,5,580,690,4,2,1315
123,3,2,1,720,4,420,1,2,3,7,1,1,2,1,8,5,2,2,1,3,1,3,1,5,1,1,1,6,4,1,5,1,1,2,4,1,2,3,1,2,2,2,1,940,500,3,1,1315
124,3.9,1,1,746,4,584,2,4,3,3,5,6,1,2,5,1,2,3,2,4,2,1,1,3,3,2,3,3,5,2,3,5,2,3,5,1,3,3,2,3,1,2,2,1427,345,4,2,842
125,2.721519517,2,2,620,3,515,1,5,2,3,8,6,2,1,7,6,6,9,5,6,8,1,2,2,5,8,1,3,2,5,4,5,9,2,5,2,6,4,4,1,1,2,1,245,351,1,2,1382
126,3.761235984,2,1,448,3,591,1,5,5,7,9,7,2,3,4,2,7,5,1,2,2,6,4,4,8,3,8,4,6,1,1,5,6,5,8,7,3,3,3,1,1,2,2,1449,303,5,1,1239
127,1.407894035,2,1,439,2,668,2,4,2,1,7,3,1,1,2,3,5,3,5,5,8,1,5,2,4,6,4,3,7,3,1,7,7,3,6,8,1,6,3,6,1,2,1,821,550,5,1,652
128,2.998760576,1,1,482,2,348,1,5,5,8,9,4,1,9,2,7,6,7,1,9,8,7,9,9,9,8,2,5,4,3,1,1,6,2,3,5,3,9,5,4,1,2,2,807,648,2,2,668
129,3.259192332,1,1,799,2,317,1,2,3,7,5,4,1,3,2,3,4,4,4,6,9,9,3,1,3,7,7,4,3,9,9,1,9,5,2,4,9,1,1,7,1,1,2,515,832,2,2,519
130,2.451572062,2,2,566,4,724,2,3,4,4,5,5,1,3,2,3,4,7,2,8,1,7,2,3,7,7,9,5,5,2,1,5,6,5,3,3,1,1,4,8,1,2,2,1206,850,2,1,1206
131,3.116033609,2,1,430,4,890,1,5,5,1,4,6,1,8,9,3,3,1,6,4,3,7,8,3,3,8,6,7,4,9,3,4,2,8,3,9,8,5,8,4,1,2,1,130,780,3,1,1222
132,1.005771925,1,2,465,4,505,1,2,3,1,9,8,2,6,8,4,8,9,6,2,8,8,4,2,3,3,9,8,9,9,4,1,6,9,9,1,6,1,1,8,2,2,2,484,567,2,2,1018
